ValueSet	Value	URI	Name	FromSchema	Text	Title
> enum	permissible_value	definition_uri	name	from_schema	text	title
enum_data_access		include:enum_data_access	enum_data_access	https://w3id.org/include		
enum_data_access	controlled				controlled	Controlled
enum_data_access	Open				Open	Open
enum_data_access	Registered				Registered	Registered
enum_down_syndrome_status		include:enum_down_syndrome_status	enum_down_syndrome_status	https://w3id.org/include		
enum_down_syndrome_status	D21				D21	D21
enum_down_syndrome_status	T21				T21	T21
enum_ethnicity		include:enum_ethnicity	enum_ethnicity	https://w3id.org/include		
enum_ethnicity	Asked but unknown				Asked but unknown	Asked but unknown
enum_ethnicity	Hispanic or Latino				Hispanic or Latino	Hispanic or Latino
enum_ethnicity	Not Hispanic or Latino				Not Hispanic or Latino	Not Hispanic or Latino
enum_family_type		include:enum_family_type	enum_family_type	https://w3id.org/include		
enum_family_type	Duo				Duo	Duo
enum_family_type	Other				Other	Other
enum_family_type	Proband-only				Proband-only	Proband-only
enum_family_type	Trio				Trio	Trio
enum_phenotype_interpretation		include:enum_phenotype_interpretation	enum_phenotype_interpretation	https://w3id.org/include		
enum_phenotype_interpretation	Not Observed				Not Observed	Not Observed
enum_phenotype_interpretation	Observed				Observed	Observed
enum_program		include:enum_program	enum_program	https://w3id.org/include		
enum_program	INCLUDE				INCLUDE	INCLUDE
enum_program	KF				KF	KF
enum_race		include:enum_race	enum_race	https://w3id.org/include		
enum_race	American Indian or Alaska Native				American Indian or Alaska Native	American Indian or Alaska Native
enum_race	Asian				Asian	Asian
enum_race	Black or African American				Black or African American	Black or African American
enum_race	More than one race				More than one race	More than one race
enum_race	Native Hawaiian or Other Pacific Islander				Native Hawaiian or Other Pacific Islander	Native Hawaiian or Other Pacific Islander
enum_race	Other				Other	Other
enum_race	White				White	White
enum_sample_availability		include:enum_sample_availability	enum_sample_availability	https://w3id.org/include		
enum_sample_availability	Available				Available	Available
enum_sample_availability	Unavailable				Unavailable	Unavailable
enum_sex		include:enum_sex	enum_sex	https://w3id.org/include		
enum_sex	Female				Female	Female
enum_sex	Male				Male	Male
enum_sex	Other				Other	Other
enum_sex	Unknown				Unknown	Unknown
enum_study_code		include:enum_study_code	enum_study_code	https://w3id.org/include		
enum_study_code	DS-COG-ALL				DS-COG-ALL	DS-COG-ALL
enum_study_code	DS-PCGC				DS-PCGC	DS-PCGC
enum_study_code	DS360-CHD				DS360-CHD	DS360-CHD
enum_study_code	DSC				DSC	DSC
enum_study_code	HTP				HTP	HTP
