ValueSet	Value
> enum	permissible_value
enum_data_access	Controlled
enum_data_access	Open
enum_data_access	Registered
enum_down_syndrome_status	D21
enum_down_syndrome_status	T21
enum_ethnicity	Asked but unknown
enum_ethnicity	Hispanic or Latino
enum_ethnicity	Not Hispanic or Latino
enum_family_type	Duo
enum_family_type	Other
enum_family_type	Proband-only
enum_family_type	Trio
enum_phenotype_interpretation	Not Observed
enum_phenotype_interpretation	Observed
enum_program	INCLUDE
enum_program	KF
enum_race	American Indian or Alaska Native
enum_race	Asian
enum_race	Black or African American
enum_race	More than one race
enum_race	Native Hawaiian or Other Pacific Islander
enum_race	Other
enum_race	White
enum_sample_availability	Available
enum_sample_availability	Unavailable
enum_sex	Female
enum_sex	Male
enum_sex	Other
enum_sex	Unknown
enum_study_code	DS-COG-ALL
enum_study_code	DS-PCGC
enum_study_code	DS360-CHD
enum_study_code	DSC
enum_study_code	HTP
